t30006	0
t33578	0
t22462	1
t52093	0
t26935	0
t1758	0
t99270	1
t25970	1
t51245	0
t86153	1
t55116	0
t15169	1
t71518	0
t91431	0
t14853	1
t45211	0
t25497	0
t49964	1
t55940	0
t94771	1
t13703	0
t91729	0
t15475	1
t25003	1
t39222	0
t82018	1
t91150	1
t46519	1
t13594	1
t66574	0
t66927	0
t40660	0
t7370	0
t31367	1
t2428	0
t21836	1
t80747	1
t75433	1
t5371	0
t98692	0
t59731	0
t48470	1
t91358	0
t34132	1
t79985	0
t96709	0
t82211	0
t33048	1
t81444	1
t73880	0
t87009	0
t36263	0
t15585	1
t60188	1
t90269	0
t36656	0
t62365	0
t57308	1
t88651	0
t2917	1
t90859	1
t91566	0
t2412	1
t65707	0
t73943	1
t20099	0
t30289	0
t57999	1
t24097	0
t27369	1
t15696	0
t76376	1
t27255	1
t90277	1
t22304	0
t35379	1
t67856	1
t52804	1
t38665	0
t76705	0
t46300	1
t99096	0
t76957	0
t74533	0
t87093	1
t47068	1
t11796	1
t79442	0
t78639	1
t95643	0
t98925	1
t9877	0
t32189	1
t33414	1
t46924	0
t99076	1
t72001	0
t73663	0
t97752	0
t74781	0
t11941	0
t56810	1
t29700	0
t20590	0
t33807	1
t44088	0
t84492	0
t19009	0
t94752	1
t49137	1
t23984	1
t69650	1
t87032	0
t13180	0
t4882	0
t37236	1
t7735	0
t91086	0
t96361	0
t39671	0
t10867	0
t62251	0
t67939	1
t38335	0
t56279	1
t18067	0
t1188	0
t55708	0
t39935	0
t87176	1
t44308	1
t50946	1
t13523	0
t50469	0
t37124	0
t43098	0
t20288	1
t59053	0
t11814	1
t18249	1
t24971	0
t5590	0
t83378	0
t6358	1
t6460	1
t59929	1
t46405	1
t52830	0
t96824	0
t85940	0
t85729	1
t73688	1
t28488	1
t28502	1
t91583	0
t47822	1
t14525	0
t85000	0
t65001	0
t81425	1
t407	0
t2389	1
t15517	1
t82691	0
t16192	0
t19577	0
t19834	0
t90467	1
t8149	0
t91348	1
t52193	0
t56034	1
t77179	1
t60274	1
t89338	0
t84084	0
t11450	0
t35741	0
t47346	1
t13564	1
t25959	0
t25049	0
t42330	0
t4787	0
t71784	0
t987	0
t62245	1
t57719	1
t9765	0
t86481	1
t59135	0
t98919	0
t72726	0
t30026	1
t47203	0
t22268	1
t37435	1
t12728	1
t36804	0
t27225	0
t57196	1
t40663	0
t27541	1
t29129	0
t60112	0
t29073	1
t97857	0
t59109	0
t35022	0
t74997	1
t56970	0
t66701	0
t23251	1
t80248	0
t50785	0
t35289	0
t10991	1
t64853	0
t66171	0
t61806	1
t92565	1
t26904	0
t90335	0
t99298	1
t97792	1
t15062	1
t54594	0
t34595	0
t7224	1
t51494	1
t11431	1
t96216	0
t98946	0
t91342	0
t91122	0
t74775	0
t40883	0
t59367	1
t3860	1
t12978	0
t88427	1
t84134	0
t44682	0
t98038	0
t58796	1
t68189	0
t26684	1
t98717	0
t97740	0
t94717	0
t44577	1
t40274	1
t90062	1
t95142	1
t69251	1
t94642	0
t65311	0
t1534	0
t90966	0
t97021	0
t34759	0
t48048	0
t92745	0
t66804	0
t82975	1
t11141	0
t42616	0
t80785	1
t3128	0
t36968	1
t82630	1
t59879	0
t88201	0
t3570	1
t39507	0
t13221	1
t51536	1
t98677	1
t65469	0
t63651	1
t23433	0
t9826	1
t96138	1
t69143	0
t93029	0
t83145	0
t82949	1
t58337	0
t93400	1
t91096	0
t78386	0
t53182	0
t86321	0
t45759	0
t86713	0
t66121	0
t43504	1
t68260	1
t9929	0
t59227	0
t40556	1
t61745	0
t26419	0
t68719	1
t21767	0
t53651	0
t87112	1
t24162	0
t26716	0
t35996	1
t8409	1
t80647	1
t57585	1
t81722	1
t38876	1
t91347	0
t36866	0
t67422	0
t29860	1
t20129	0
t37021	0
t63001	0
t50577	1
t23137	0
t18002	1
t13982	0
t63733	0
t77159	0
t68123	1
t30075	1
t78492	1
t14765	0
t69722	0
t15737	0
t51014	0
t87992	0
t34289	0
t93502	0
t93261	1
t40596	0
t79726	0
t68678	1
t69203	0
t62367	1
t62348	0
t51274	1
t90935	0
t84734	1
t7029	1
t63239	1
t98081	0
t45543	0
t97815	0
t91776	0
t9942	0
t89223	0
t41049	0
t11955	0
t32041	0
t88743	0
t31455	1
t35203	0
t16525	0
t8530	1
t19570	1
t97911	0
t45189	1
t83524	0
t83620	1
t78388	0
t31637	0
t59226	1
t54620	0
t98420	0
t64357	0
t72518	0
t27984	1
t92522	1
t58260	0
t19898	0
t74916	1
t96198	0
t68707	1
t56223	0
t22100	0
t85754	0
t71459	0
t98027	1
t33311	0
t33107	0
t30284	1
t20119	0
t91401	1
t75934	1
t36353	0
t63267	0
t8381	0
t41254	0
t8337	0
t88725	0
