id,user_id,pair_id,experiment_id,answer,duration
1,1,1,1,yes,41998
2,1,2,1,no,11759
3,1,3,1,no,9222
4,1,4,1,maybe,7198
5,1,5,1,yes,868
6,1,6,1,yes,618
7,1,7,1,yes,582
8,1,8,1,yes,41107
9,1,9,1,no,26795
10,1,10,1,yes,161787
11,1,11,1,yes,31038
12,1,12,1,maybe,4525
13,1,13,1,no,8795
14,1,14,1,no,7019
15,1,15,1,no,16888
16,1,16,1,maybe,17746
17,1,17,1,maybe,7414
18,1,18,1,no,5139
19,1,19,1,no,2919
20,1,20,1,maybe,92209
21,1,21,1,maybe,8669
22,1,22,1,no,3248
990,2,1,1,yes,17097705
991,2,2,1,maybe,37666
992,2,3,1,maybe,77384
993,2,4,1,maybe,19041
994,2,5,1,maybe,246333
995,2,6,1,yes,23565
996,2,7,1,yes,66677
997,2,8,1,maybe,158121
998,2,9,1,maybe,176722
999,2,10,1,maybe,119106
1000,2,11,1,yes,61430
1001,2,12,1,maybe,177510
1002,2,13,1,maybe,27523
1003,2,14,1,maybe,547012
1004,2,15,1,yes,61962
1005,2,16,1,yes,48075
1006,2,17,1,maybe,89806
1007,2,18,1,maybe,54890
1008,2,19,1,yes,151020
1009,2,20,1,maybe,53122
1010,2,21,1,yes,49179
1011,2,22,1,yes,54579
1012,2,23,1,no,100863
1013,2,24,1,maybe,171697
1014,2,25,1,maybe,47477
1015,2,26,1,yes,96235
1016,2,27,1,maybe,51150
1017,2,28,1,maybe,32331
1018,2,29,1,yes,9827
1019,2,30,1,yes,82914
1020,2,31,1,yes,49385
1021,2,32,1,maybe,34231
1022,2,33,1,yes,54831
1023,2,34,1,maybe,57548
1024,2,35,1,maybe,124628
1025,2,36,1,maybe,83208
1026,2,37,1,yes,62804
1027,2,38,1,maybe,27293
1028,2,39,1,maybe,70998
1029,2,40,1,maybe,14426
1030,2,41,1,yes,32567
1031,2,42,1,yes,4986
1032,2,43,1,maybe,317306
1033,2,44,1,yes,95557
1034,2,45,1,maybe,44202
1035,2,46,1,maybe,28437
1036,2,47,1,maybe,20232
1037,2,48,1,maybe,29290
1038,2,49,1,maybe,14385
1039,2,50,1,maybe,37303
1040,2,51,1,maybe,9228
1041,2,52,1,maybe,4393
1042,2,53,1,yes,41358
1043,2,54,1,yes,12110
1044,2,55,1,yes,33612
1045,2,56,1,maybe,12472
1046,2,57,1,yes,70651
1047,2,58,1,maybe,7587
1048,2,59,1,maybe,37888
1049,2,60,1,maybe,5935
1050,2,61,1,yes,420334
1051,2,62,1,yes,76663
1052,2,63,1,yes,8270
1053,2,64,1,maybe,452337
1054,2,65,1,yes,22484
1055,2,66,1,maybe,53779
1056,2,67,1,maybe,10548
1057,2,68,1,maybe,68729
1058,2,69,1,maybe,65168
1059,2,70,1,yes,34185
1060,2,71,1,yes,21192
1061,2,72,1,maybe,12289
1062,2,73,1,yes,64269
1063,2,74,1,maybe,11019
1064,2,75,1,maybe,79019
1065,2,76,1,yes,9122
1066,2,77,1,yes,42243
1067,2,78,1,yes,85445
1068,2,79,1,maybe,28513
1069,2,80,1,maybe,9304
1070,2,81,1,maybe,70487
1071,2,82,1,yes,35270
1072,2,83,1,maybe,63283
1073,2,84,1,maybe,20153
1074,2,85,1,yes,15757
1075,2,86,1,yes,77217
1076,2,87,1,maybe,12417
1077,2,88,1,maybe,74279
1078,2,89,1,yes,12304
1079,2,90,1,maybe,10294
1080,2,91,1,yes,29850
1081,2,92,1,maybe,15920
1082,2,93,1,maybe,27888
1083,2,94,1,yes,170423
1084,2,95,1,maybe,97182
1085,2,96,1,yes,8339
1086,2,97,1,maybe,14719
1087,2,98,1,yes,44388
1088,2,99,1,maybe,12368
1089,2,100,1,yes,223178
1090,2,101,1,maybe,1395958
1091,2,102,1,yes,21794
1092,2,103,1,maybe,19225
1093,2,104,1,yes,1541440
1094,2,105,1,maybe,4179
1095,2,106,1,maybe,36020448
1096,2,107,1,maybe,13408
1097,2,108,1,yes,81222
1098,2,109,1,yes,20431
1099,2,110,1,maybe,33939
1100,2,111,1,yes,73841
1101,2,112,1,maybe,24213
1102,2,113,1,maybe,17044
1103,2,114,1,yes,28858
1104,2,115,1,yes,25471
1105,2,116,1,maybe,199880
1106,2,117,1,maybe,45891
1107,2,118,1,maybe,3280
1108,2,119,1,yes,35629
1109,2,120,1,maybe,7624
1110,2,121,1,maybe,13687
1111,2,122,1,yes,2463302
1112,2,123,1,yes,41382
1113,2,124,1,maybe,621994
1114,2,125,1,yes,132453
1115,2,126,1,yes,23654
1116,2,127,1,maybe,5960
1117,2,128,1,maybe,2966
1118,2,129,1,maybe,3772
1119,2,130,1,yes,20459
1120,2,131,1,yes,32993
1121,2,132,1,maybe,40735
1122,2,133,1,maybe,133937
1123,2,134,1,maybe,24995
1124,2,135,1,yes,19119
1125,2,136,1,yes,48865
1126,2,137,1,maybe,13056
1127,2,138,1,yes,190244
1128,2,139,1,maybe,19392
1129,2,140,1,maybe,42085
1130,2,141,1,maybe,217437
1131,2,142,1,maybe,26230
1132,2,143,1,yes,10122
1133,2,144,1,maybe,31903
1134,2,145,1,no,290362
1135,2,146,1,maybe,15157
1136,2,147,1,maybe,11650
1137,2,148,1,maybe,13135
1138,2,149,1,maybe,8836
1139,2,150,1,maybe,9615
1140,2,151,1,maybe,48254
1141,2,152,1,yes,29823
1142,2,153,1,maybe,14245
1143,2,154,1,maybe,12176
1144,2,155,1,maybe,4097
1145,2,156,1,maybe,3272773
1146,2,157,1,yes,89293
1147,2,158,1,maybe,197398
1148,2,159,1,maybe,268322
1149,2,160,1,yes,128960
1150,2,161,1,yes,20652
1151,2,162,1,maybe,17449
1152,2,163,1,maybe,254378
1153,2,164,1,maybe,6066
1154,2,165,1,yes,59736
1155,2,166,1,maybe,203683
1156,2,167,1,maybe,10620
1157,2,168,1,yes,25215
1158,2,169,1,yes,103477
1159,2,170,1,yes,10834
1160,2,171,1,maybe,48823
1161,2,172,1,maybe,40354
1162,2,173,1,yes,17306
1163,2,174,1,maybe,41751
1164,2,175,1,yes,8700
1165,2,176,1,maybe,11251
1166,2,177,1,maybe,11742
1167,2,178,1,maybe,6635
1168,2,179,1,maybe,12049
1169,2,180,1,maybe,3616
1170,2,181,1,yes,25068
1171,2,182,1,maybe,15333
1172,2,183,1,yes,27559
1173,2,184,1,maybe,133929
1174,2,185,1,maybe,7123
1175,2,186,1,yes,8317
1176,2,187,1,yes,18525
1177,2,188,1,yes,22925
1178,2,189,1,yes,221075
1179,2,190,1,maybe,282050
1180,2,191,1,maybe,81239
1181,2,192,1,yes,10151
1182,2,193,1,yes,12807
1183,2,194,1,yes,18211
1184,2,195,1,maybe,89987
1185,2,196,1,yes,97700
1186,2,197,1,maybe,272308
1187,2,198,1,maybe,41566
1188,2,199,1,yes,890560
1189,2,200,1,yes,14295
1190,2,201,1,maybe,8320
1191,2,202,1,maybe,42886
1192,2,203,1,maybe,54171
1193,2,204,1,yes,75808
1194,2,205,1,yes,10298
1195,2,206,1,yes,6532
1196,2,207,1,maybe,49686
1197,2,208,1,yes,30020
1198,2,209,1,maybe,30345
1199,2,210,1,yes,20512
1200,2,211,1,maybe,30287
1201,2,212,1,maybe,15005
1202,2,213,1,maybe,180453
1203,2,214,1,maybe,24358
1204,2,215,1,yes,8606
1205,2,216,1,yes,30206
1206,2,217,1,yes,284296
1207,2,218,1,yes,35981
1208,2,219,1,yes,22245
1209,2,220,1,maybe,254386
1210,2,221,1,maybe,33307
1211,2,222,1,maybe,17475
1212,2,223,1,maybe,151016
1213,2,224,1,maybe,61388
1214,2,225,1,yes,33827
1215,2,226,1,yes,24258
1216,2,227,1,maybe,29966
1217,2,228,1,yes,339313
1218,2,229,1,yes,11257
1219,2,230,1,yes,18285
1220,2,231,1,maybe,57895
1221,2,232,1,yes,992640
1222,2,233,1,yes,16179
1223,2,234,1,maybe,53228
1224,2,235,1,maybe,8379
1225,2,236,1,maybe,77421
1226,2,237,1,maybe,7620
1227,2,238,1,yes,47498
1228,2,239,1,yes,11563
1229,2,240,1,yes,5007
1230,2,241,1,maybe,109493
1231,2,242,1,maybe,7045
1232,2,243,1,maybe,20621
1233,2,244,1,yes,13079
1234,2,245,1,maybe,34707
1235,2,246,1,yes,74476
1236,2,247,1,maybe,18833
1237,2,248,1,maybe,5632
1238,2,249,1,maybe,2952
1239,2,250,1,yes,35336
1240,2,251,1,maybe,42375
1241,2,252,1,maybe,10524
1242,2,253,1,yes,12134
1243,2,254,1,maybe,56461
1244,2,255,1,yes,248253
1245,2,256,1,yes,33810
1246,2,257,1,yes,21792
1247,2,258,1,yes,22607
1248,2,259,1,maybe,43768
1249,2,260,1,maybe,2792
1250,2,261,1,yes,114410
1251,2,262,1,yes,23336
1252,2,263,1,yes,14374
1253,2,264,1,yes,148353
1254,2,265,1,maybe,10273
1255,2,266,1,maybe,20129
1256,2,267,1,yes,48285
1257,2,268,1,yes,14676
1258,2,269,1,yes,39363
1259,2,270,1,maybe,8911
1260,2,271,1,maybe,3362
1261,2,272,1,maybe,8217
1262,2,273,1,yes,44463
1263,2,274,1,yes,53452
1264,2,275,1,yes,8446
1265,2,276,1,yes,34973
1266,2,277,1,yes,182478
1267,2,278,1,yes,75113
1268,2,279,1,yes,179319
1269,2,280,1,maybe,23819
1270,2,281,1,yes,11859
1271,2,282,1,maybe,20905
1272,2,283,1,yes,122430
1273,2,284,1,yes,10966
1274,2,285,1,maybe,262889
1275,2,286,1,yes,20105
1276,2,287,1,maybe,14169
1277,2,288,1,maybe,32018
1278,2,289,1,maybe,43157
1279,2,290,1,yes,55787
1280,2,291,1,maybe,6224
1281,2,292,1,yes,41838
1282,2,293,1,yes,17958
1283,2,294,1,maybe,16916
1284,2,295,1,maybe,3059
1285,2,296,1,yes,6196
1286,2,297,1,maybe,18163
1287,2,298,1,yes,68358
1288,2,299,1,maybe,5271
1289,2,300,1,maybe,7023
1290,2,301,1,no,826547
1291,2,302,1,maybe,11133
1292,2,303,1,yes,87570
1293,2,304,1,yes,255199
1294,2,305,1,yes,33464
1295,2,306,1,yes,8606
1296,2,307,1,yes,5966
1297,2,308,1,maybe,113435
1298,2,309,1,yes,31179
1299,2,310,1,maybe,595991
1300,2,311,1,yes,7168
1301,2,312,1,maybe,18589
1302,2,313,1,maybe,3923
1303,2,314,1,maybe,3836
1304,2,315,1,maybe,4320
1305,2,316,1,maybe,106386
1306,2,317,1,yes,75448
1307,2,318,1,yes,14366
1308,2,319,1,yes,24335
1309,2,320,1,yes,10792
1310,2,321,1,maybe,7646
1311,2,322,1,yes,230291
1312,2,323,1,yes,502314
1313,2,324,1,maybe,22632
1314,2,325,1,yes,79275
1315,2,326,1,yes,145938
1316,2,327,1,yes,72443
1317,2,328,1,yes,36377
1318,2,329,1,maybe,50319
1319,2,330,1,yes,26728
1320,2,331,1,yes,103111
1321,2,332,1,maybe,260413
1322,2,333,1,yes,16843
1323,2,334,1,maybe,7878
1324,2,335,1,maybe,2377
1325,2,336,1,yes,215548
1326,2,337,1,yes,20732
1327,2,338,1,yes,52012
1328,2,339,1,yes,76245
1329,2,340,1,yes,67871
1330,2,341,1,maybe,24804
1331,2,342,1,maybe,12935
1332,2,343,1,maybe,5827
1333,2,344,1,yes,58903
1334,2,345,1,yes,862197
1335,2,346,1,yes,14316
1336,2,347,1,yes,17634
1337,2,348,1,yes,1644619
1338,2,349,1,maybe,25693
1339,2,350,1,yes,29406
1340,2,351,1,yes,16811
1341,2,352,1,yes,14026
1342,2,353,1,yes,18785
1343,2,354,1,maybe,23166
1344,2,355,1,yes,3368
1345,2,356,1,maybe,6854
1346,2,357,1,maybe,4709
1347,2,358,1,yes,4228
1348,2,359,1,yes,21929
1349,2,360,1,maybe,15440
1350,2,361,1,yes,23770
1351,2,362,1,yes,48041
1352,2,363,1,maybe,6051
1353,2,364,1,yes,23977
1354,2,365,1,maybe,39047
1355,2,366,1,maybe,23897
1356,2,367,1,maybe,9358
1357,2,368,1,yes,6889
1358,2,369,1,yes,22081
1359,2,370,1,maybe,19459
1360,2,371,1,maybe,6087
1361,2,372,1,maybe,3228
1362,2,373,1,maybe,7070
1363,2,374,1,yes,13734
1364,2,375,1,yes,10450
1365,2,376,1,yes,11744
1366,2,377,1,maybe,5346
1367,2,378,1,yes,99683
